Spanish,English
realmente,Really
estas,these
aún,yet
mío,Own
toda,all
hacerlo,do what
cada,each
visto,viewed
importa,matters
contigo,with you
tienen,they have
hemos,we have
razón,reason
alguna,any
tanto,so much
saber,to know
hizo,did
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,late
problema,trouble
hora,hour
cierto,TRUE
dicho,saying
quien,who
demasiado,too
amor,love
entre,between
ve,go
pasado,past
familia,family
estos,these
policía,police
debería,should
ustedes,you
chica,girl
esos,those
chicos,Boys
cuenta,account
haces,do
todavía,still
salir,go out
algún,some
vaya,go
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,I knew
cabeza,head
ah,ah
cariño,sweetie
digo,I say
van,go
hombres,mens
buenas,good
somos,we are
cualquier,any
forma,shape
mientras,While
lado,side
debo,I must
sería,would be
caso,case
pueden,may
pasó,He passed
primera,first
genial,brilliant
chico,boy
supuesto,supposed
hice,I did
pues,well
adiós,goodbye
muchas,many
personas,persons
señora,Ms
volver,return
esas,those
quizá,maybe
contra,against
camino,path
durante,during
hablando,talking
manera,way
muerto,dead
persona,person
rápido,Quick
cuál,which
ayuda,help
historia,history
iba,I was going
supongo,I suppose
nueva,new
entiendo,I get it
dentro,inside
casi,almost
puerta,door
ves,you see
pasar,pass
primero,First
significa,it means
semana,week
hacia,toward
quizás,maybe
espero,I hope
juntos,together
año,year
niños,children
pronto,soon
tío,uncle
suerte,luck
ciudad,city
siquiera,at least
feliz,happy
venir,come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,leave
realidad,reality
deja,let
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,chief
agua,Water
haré,I will do
justo,fair
horas,hours
poder,power
buenos,good ones
esposa,wife
manos,hands
debes,you must
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,ahead
encontrar,find
mano,hand
cinco,five
niño,child
ninguna,none
otros,others
cara,expensive
cuidado,watch out
bajo,low
cerca,close
viejo,old
déjame,let me
noches,nights
bastante,quite
fin,end
tomar,drink
único,only
misma,same
escucha,listens
ningún,any
suficiente,enough
punto,point
cuándo,when
sigue,follow
haya,beech
equipo,equipment
grande,big
necesita,needs to
llegar,get
incluso,even
algunos,Some
doctor,doctor
difícil,difficult
aunque,although
hubiera,had
primer,first
coche,car
hago,I make
clase,class
cuatro,four
mas,more
dices,say
pequeño,little
llama,call
toma,taking
hiciste,did
allá,there
última,last
arriba,above
tierra,Earth
guerra,war
pensar,think
pueda,can
igual,same
loco,crazy
sangre,blood
mujeres,women
vuelta,return
fui,I was
trabajar,to work
tenido,had
juego,game
deberías,you should
cuerpo,Body
e,and
algunas,some
entrar,get in
cree,cree
podía,I could
debemos,we must
oportunidad,opportunity
teléfono,telephone
necesitamos,we need
final,final
listo,ready
fiesta,party
muchos,Many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,to live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,guilt
abajo,down
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,East
ello,it
pregunta,question
chicas,girls
eran,they were
unas,nail
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,Ms.
bebé,baby
segundo,second
sabemos,we know
mayor,higher
comida,food
morir,To die
conozco,I know
dame,give to me
fácil,easy
comer,eat
vino,came
lista,list
haga,make
necesitas,you need
hijos,sons
probablemente,probably
padres,parents
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,tell me
trata,about
buscando,searching
tuve,I had
tampoco,neither
amo,love
joven,young
podrías,could you
sola,alone
par,pair
única,only
hacen,make
seguir,follow
dr.,dr.
simplemente,simply
dicen,say
medio,medium
puta,bitch
saben,they know
sentido,sense
hagas,you do
segura,safe
esperar,wait
lejos,far
arma,weapon
alto,tall
pequeña,little
dólares,Dollars
seis,six
estaban,They were
seguridad,security
maldita,damn
estuvo,he was
preocupes,worry
palabra,word
esperando,waiting
queda,remains
oficina,office
matar,kill
iré,I will go
cama,bed
además,further
último,latest
oído,ear
habría,there would be
estará,will be
dio,it gave
recuerdo,memory
siendo,being
acerca,about
tenga,have
luz,light
correcto,Right
ud.,You.
demonios,got damn
nuestras,our
verte,to see you
dormir,sleep
sitio,site
ayudar,help
conseguir,get
di,gave
marido,husband
paz,peace
idiota,moron
plan,plan
dado,dice
cuanto,how much
peor,worst
murió,died
pueblo,village
vivo,alive
venido,I come
john,john
basta,Enough
paso,He passed
deberíamos,we should
música,music
diga,tell
minuto,minute
anoche,last night
llamar,to call
piensa,think
país,country
digas,you say
rey,king
perdón,sorry
mucha,a lot
falta,lack
pienso,I think
diablos,Devils
perdido,lost
niña,little girl
señorita,miss
diez,ten
lleva,carries
hospital,hospital
grandes,big
maldito,damned
otras,other
llamado,called
hacemos,we make
llevar,bring
fuego,fire
aqui,here
tuvo,He had
poner,put
calle,Street
acaba,just
prueba,test
increíble,incredible
real,real
libro,book
orden,order
semanas,weeks
especial,special
mía,mine
café,coffee
duro,Lasted
empezar,start
afuera,outside
queremos,we want
perro,dog
cielo,sky
jack,Jack
puesto,Market Stall
viaje,trip
detrás,behind
cuarto,bedroom
querida,Dear
haría,would do
preguntas,questions
piensas,think
querido,Dear
libre,free
buscar,look for
cual,which
diré,I'll say
suena,dream
jugar,to play
cambio,change
película,movie
millones,millions
habrá,there will be
llamada,call
resto,rest
vemos,we see
extraño,strange
mala,bad
presidente,President
srta.,Ms.
irme,leave
ropa,clothes
perder,to lose
vuelve,returns
agente,agent
palabras,words
información,information
raro,rare
hará,will
entiendes,You understand
éste,East
trabajando,working
tratando,trying
general,general
trato,treatment
usar,use
perfecto,perfect
derecho,right
modo,mode
ayer,Yesterday
conoces,know
demás,the rest
quieras,want
podríamos,we could
noticias,news
asesino,assassin
encontrado,found
control,control
odio,hate
frente,front
sexo,sex
decirle,tell
estaré,I will be
divertido,funny
armas,weapons
recuerdas,remember
amiga,friend
grupo,group
asunto,affair
acabo,finished
mensaje,message
encima,above
atención,Attention
diferente,different
uh,uh
cállate,shut
daño,hurt
sucede,happens
cambiar,change
siguiente,next
sino,if not
the,the
seas,be
médico,doctor
boca,mouth
dejó,left
error,error
jamás,Never
largo,long
pena,pain
voz,voice
futuro,future
siente,feels
secreto,secret
baño,bath
mil,thousand
decirte,tell you
sam,sam
pensaba,thought
novia,girlfriend
propia,own
sueño,dream
haz,make
fuerza,strength
deben,should
supone,supposed
estábamos,we were
ambos,both of them
ay,Oh
estuve,I was
encontré,I found
vuelto,turned
dolor,pain
dile,tell him
encanta,love
edad,age
darle,give him
pie,foot
negro,black
ganar,win
york,york
aire,air
lamento,lament
verlo,see him
asesinato,murder
vio,he saw
adónde,where
llegado,arrived
disculpe,sorry
s,s
cita,appointment
estaría,It would
fuiste,you were
sistema,system
gusto,taste
pobre,poor
negocio,deal
mente,mind
tuyo,of yours
campo,countryside
mire,Look
situación,situation
tras,after
hotel,hotel
vosotros,you
funciona,works
foto,Photo
abogado,attorney
loca,crazy
propio,own
alrededor,around
próxima,next
terminado,finished
hablas,speak
pagar,pay
mató,he killed
llamo,I call
personal,personal
sientes,you feel
ocurre,occurs
ésta,is
recuerda,remember
mitad,half
quiera,want
pelo,hair
tenías,had
viste,dresses
oficial,official
llegó,I arrive
compañía,company
relación,relationship
conoce,known
pase,pass
montón,heap
mejores,top
creí,thought
cena,Dinner
sentir,feel
través,through
accidente,accident
i,i
ellas,they
caja,box
tranquilo,quiet
bonito,nice
eras,ages
asi,So
pudo,could
vive,lives
vista,view
estúpido,stupid
línea,line
caballeros,gentlemen
haremos,will
dan,give
quédate,stay
tienda,store
comprar,to buy
entendido,it is understood
centro,center
salvo,except
mes,month
joe,joe
sol,Sun
tonto,fool
hambre,hungry
michael,Michael
mesa,table
respuesta,answer
completamente,completely
david,David
carta,letter
totalmente,totally
imposible,impossible
pruebas,tests
novio,boyfriend
normal,normal
gustan,like
frank,frank
pude,I could
charlie,charlie
traje,suit
dirección,direction
siete,seven
dijeron,they said
placer,pleasure
sean,are
tendrá,will have
barco,ship
blanco,White
tom,tom
profesor,teacher
servicio,service
muchacho,boy
reunión,meeting
dejado,left
ley,law
quisiera,I would like
hubo,there was
george,george
programa,Program
carrera,career
cumpleaños,birthday
muchachos,boys
culo,ass
canción,song
hermosa,beautiful
universidad,college
boda,wedding
decirme,tell me
cualquiera,anyone
tengas,you have
hacía,toward
estés,re
sala,room
llevo,I wear
decisión,decision
espere,Wait
don,Don
necesario,necessary
sal,Salt
entra,enters
prisa,rush
carajo,fuck
embargo,embargo
interesante,interesting
tendrás,you will have
escuchar,hear
abuela,Grandma
hicieron,they made
detective,detective
horrible,horrible
suelo,I usually
fotos,Photos
cárcel,jail
acá,here
io,io
mike,mike
siéntate,Sit down
decía,He said
intentando,trying
vámonos,Let's go
maldición,damn
silencio,silence
muerta,dead
capaz,able
salió,he left
club,club
terminar,finish
temo,fear
broma,joke
gobierno,government
prometo,I promise
cámara,camera
media,half
terrible,terrible
llamó,I call
regalo,present
amable,nice
dulce,sweet
muertos,dead
querías,wanted
ataque,attack
das,you give
navidad,Christmas
negocios,business
pudiera,could
ocho,eight
avión,plane
investigación,investigation
acabó,finished
juro,I swear
mantener,keep
ejército,army
papel,paper
partes,parts
ten,ten
gracioso,funny
diría,would say
principio,beginning
delante,in front of
teniente,lieutenant
deseo,wish
vayas,go
nave,ship
sale,comes out
basura,trash
vine,came
contacto,Contact
esposo,husband
tren,train
encontramos,we find
dale,Go ahead
verdadero,TRUE
tuya,yours
alma,soul
hazlo,do it
disculpa,Sorry
junto,together
anda,anda
tendré,I will have
matrimonio,marriage
saberlo,I know
locura,madness
oro,gold
permiso,Excuse me
director,director
peligro,danger
libertad,freedom
alegro,glad
baja,low
tendremos,we will have
derecha,right
encuentra,find
pies,feet
segunda,second
maravilloso,wonderful
espacio,space
rato,little while
abuelo,grandfather
esperaba,I expected
mirando,looking
salud,Health
sorpresa,surprise
ninguno,none
miren,look
triste,sad
aun,yet
pensado,thought-out
maestro,teacher
según,according
infierno,hell
podrían,could
tipos,types
tía,aunt
crimen,crime
conocido,known
consejo,advice
ante,before
